strain	date	location
Burkholderia_pseudomallei_V1514_GCF_009768635.1_Viet_Nam	2015-01-01	Vietnam
3000496615_CA2017_ex_Vietnam	2017-01-01	Vietnam
3101412770_GA2024_patient2	2024-01-01	USA: GA
3101412772_GA2024_patient1	2024-01-01	USA: GA
3101412771_GA2024_patient1	2024-01-01	USA: GA
2002721102_GA1983	1983-01-01	USA: GA
2002734833_OH1969	1969-01-01	USA: OH
3000026164_CA2012_ex_Vietnam_relapse	2012-01-01	Vietnam
2002721109_GA1989	1989-01-01	USA: GA
3101412769_GA2024_patient2	2024-01-01	USA: GA
